hora_ET,precio,madurez,secuencia_entrada,nivel_recuperado,stop,objetivo,RR,elegible,motivos
2026-08-28 09:45,85.23,,,,76.78234905036523758905765570,87.82,0.3065941071005046311124719222,False,countertrend_expired | insufficient_reward_risk
2026-08-28 10:00,85.72,,,,76.78234905036523758905765570,87.82,0.2349610665972379032643236588,False,countertrend_expired | insufficient_reward_risk
2026-08-28 10:15,83.18,,,,76.78234905036523758905765570,87.82,0.7252662010678926581174363803,False,countertrend_expired | insufficient_reward_risk
2026-08-28 10:30,84.405,,,,76.78234905036523758905765570,87.82,0.4480068709119665186050728234,False,countertrend_expired | insufficient_reward_risk
2026-08-28 10:45,83.8601,,,,76.78234905036523758905765570,87.82,0.5594856372000974667303530715,False,countertrend_expired | insufficient_reward_risk
2026-08-28 11:00,83.475,,,,76.78234905036523758905765570,87.82,0.6492195742312124304138774435,False,countertrend_expired | insufficient_reward_risk
2026-08-28 11:15,83.08,,,,76.78234905036523758905765570,87.82,0.7526615936494384951329850789,False,countertrend_expired | insufficient_reward_risk
2026-08-28 11:30,83.23,,,,76.78234905036523758905765570,87.82,0.7118871719102610469863565773,False,countertrend_expired | insufficient_reward_risk
2026-08-28 11:45,82.13,,,,76.78234905036523758905765570,87.82,1.064018585653691474185818167,False,countertrend_expired | insufficient_reward_risk
2026-08-28 12:00,80.14,,,,76.78234905036523758905765570,87.82,2.287313397134211592360002640,False,countertrend_expired
2026-08-28 12:15,80.36,,,,76.78234905036523758905765570,87.82,2.085167084497603490000690465,False,countertrend_expired
2026-08-28 12:30,79.9499,,,,76.78234905036523758905765570,87.82,2.484600918860506300419586733,False,countertrend_expired
2026-08-28 12:45,79.41,,,,76.78234905036523758905765570,87.82,3.200577306955085164254757567,False,countertrend_expired
2026-08-28 13:00,79.655,,,,76.78234905036523758905765570,87.82,2.842322350732560446547203671,False,countertrend_expired
2026-08-28 13:15,79.4,,,,76.78234905036523758905765570,87.82,3.216624432365526867736561795,False,countertrend_expired
2026-08-28 13:30,79.35,,,,76.78234905036523758905765570,80.51,0.4517748022428847424016844689,False,countertrend_expired | insufficient_reward_risk
2026-08-28 13:45,79.62,,,,76.78234905036523758905765570,80.51,0.3136397026260587155090028851,False,countertrend_expired | insufficient_reward_risk
2026-08-28 14:00,79.45,,,,76.78234905036523758905765570,80.51,0.3973533344552173791254226527,False,countertrend_expired | insufficient_reward_risk
2026-08-28 14:15,79.28,,,,76.78234905036523758905765570,80.51,0.4924627279003360735570657153,False,countertrend_expired | insufficient_reward_risk
2026-08-28 14:30,79.28,,,,76.78234905036523758905765570,80.51,0.4924627279003360735570657153,False,countertrend_expired | insufficient_reward_risk
2026-08-28 14:45,78.85,,,,76.78234905036523758905765570,80.51,0.8028434394563688819033019774,False,countertrend_expired | insufficient_reward_risk
2026-08-28 15:00,78.9,,,,76.78234905036523758905765570,80.51,0.7602763809010552529338139201,False,countertrend_expired | insufficient_reward_risk
2026-08-28 15:15,78.92,,,,76.78234905036523758905765570,80.51,0.7438071216779644589990588004,False,countertrend_expired | insufficient_reward_risk
2026-08-28 15:30,79.77,,,,76.78234905036523758905765570,80.51,0.2476862299093086230353837329,False,countertrend_expired | insufficient_reward_risk
2026-08-28 15:45,79.86,,,,76.78234905036523758905765570,80.51,0.2112000388078895668734223761,False,countertrend_expired | insufficient_reward_risk
2026-08-28 16:00,79.42,,,,76.78234905036523758905765570,80.51,0.4132464912201264356604025500,False,countertrend_expired | insufficient_reward_risk
2026-08-31 09:45,79.1,,,,76.78234905036523758905765570,80.51,0.6083746131928111422327966159,False,countertrend_expired | insufficient_reward_risk
2026-08-31 10:00,78.98,,,,76.78234905036523758905765570,80.51,0.6961979108894784435536724929,False,countertrend_expired | insufficient_reward_risk
2026-08-31 10:15,77.43,,,,76.78234905036523758905765570,80.51,4.755648087502907919591893347,False,countertrend_expired
2026-08-31 10:30,77.32,,,,76.78234905036523758905765570,80.51,5.933217456729192125951913158,False,countertrend_invalidated | countertrend_expired
2026-08-31 10:45,77.31,,,,76.78234905036523758905765570,80.51,6.064615257899233300645793992,False,countertrend_invalidated | countertrend_expired
2026-08-31 11:00,77.64,,,,76.78234905036523758905765570,80.51,3.346349702314458693734481082,False,countertrend_invalidated | countertrend_expired
2026-08-31 11:15,77.36,,,,76.78234905036523758905765570,80.51,5.453120092664409944251990117,False,countertrend_invalidated | countertrend_expired
