ticker,schemaVersion,modoNiveles,marcoCalculo,zonaLowManual,zonaHighManual,soporteManual,invalidationManual,resistenciaManual,liquidezManual,avwapPivotManual,avwapBreakoutManual,extendedTarget,asOf,fuenteDatos,swingSma20,swingSma50,swingTarget,pivotLowAnchorAt,breakoutAnchorAt,swingVerdict,swingDirection,swingScore,swingEntryGatePassed,stImpulseLow,stImpulseHigh,stImpulseLowAt,stImpulseHighAt,stFib618,stFib50,stFib1618,stZoneLow,stZoneHigh,stSupport20,stResistance20,stInvalidation,stPrimaryTarget,stExtendedTarget,stGeometryStatus,stMaturity,stEligible,stReasons,geriZoneLow,geriZoneHigh,geriInvalidation,geriActiveLevelKind,geriActiveLevelPrice,geriActiveLevelSequence,geriMaturity,geriTradeSide,geriBounceConfirmed,geriFastConfirmation,geriFourHourConfirmation,geriReasons,geriN1Kind,geriN1Price,geriN2Kind,geriN2Price,geriN3Kind,geriN3Price,swingInvalidationSources,supportState,supportConfirmationType,supportZoneLow,supportZoneCenter,supportZoneHigh,supportInvalidation,supportScore,supportReactionScore,supportReversalScore,supportActionabilityScore,supportZonePosition,supportSources,supportImpulseOrigin,supportImpulseOriginAt,supportImpulsePeak,supportImpulseAdvancePercent,supportFib50,supportFib618,supportFib786,supportReasons
TER,3,MANUAL,DIARIO FIJO,343.8092,364.5046,326.0000,321.1100,443.1400,444.1700,354.1569,372.0591,0,2026-09-04T20:00:00Z,ALPACA_DIRECTO,375.3375,371.9329,429.5000,2026-08-24T04:00:00Z,2026-08-17T04:00:00Z,AVOID,BEARISH,35.00,false,0,0,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,0,0,ENGINE_REJECTED,SIN_DATO,SIN_DATO,SwingTrade LONG impulse requires low before high,0,0,0,SUPPORT,319.1900,2,BUILDING,SHORT,false,false,false,manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:2:SUPPORT,RESISTANCE,372.2300,SUPPORT,319.1900,SIN_DATO,0,SWING_DIARIO,LIQUIDITY_SWEEP,NONE,352.8550,361.1585,367.5190,337.3334,89.0000,63.6000,10.0000,56.4100,IN_ZONE,pivot_daily_358|weekly_sma10|weekly_sma30|round_number,301.0000,2026-07-28T04:00:00Z,444.1700,47.5648,404.2150,394.7856,381.3607,liquidity_sweep_waiting_for_reclaim
APLD,3,MANUAL,DIARIO FIJO,24.4888,26.2325,23.8300,23.4726,31.2000,33.0400,25.3606,0,0,2026-09-04T20:00:00Z,ALPACA_DIRECTO,27.8888,29.2718,32.1648,2026-09-02T04:00:00Z,SIN_DATO,AVOID,BEARISH,0.00,false,0,0,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,0,0,ENGINE_REJECTED,SIN_DATO,SIN_DATO,SwingTrade LONG impulse requires low before high,0,0,0,SUPPORT,25.4800,2,BUILDING,SHORT,false,false,false,structural_chain_rebased|manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:2:SUPPORT,RESISTANCE,25.9700,SUPPORT,25.4800,SIN_DATO,0,SWING_DIARIO,SINGLE_SUPPORT_NEARBY,NONE,26.4656,26.6400,26.8144,25.1579,32.0000,0,0,10.3776,BELOW_ZONE,pivot_daily_365,22.9300,2026-07-29T04:00:00Z,33.0400,44.0907,0,0,0,single_support_nearby_without_independent_confluence|informational_only_not_swing_confirmation
TREX,3,MANUAL,DIARIO FIJO,44.7876,46.4118,42.7300,42.0891,50.0800,50.9600,45.5997,47.6138,56.6827,2026-09-04T20:00:00Z,ALPACA_DIRECTO,47.0325,46.3692,52.6818,2026-08-20T04:00:00Z,2026-08-05T04:00:00Z,WATCH,BULLISH,31.00,false,41.7000,50.9600,2026-07-23T04:00:00Z,2026-08-13T04:00:00Z,45.2373,46.3300,56.6827,45.2373,46.3300,42.7300,50.9600,41.9179,50.9600,56.6827,ENGINE_ASSESSMENT,SIN_DATO,false,swing_trade_no_thesis|spot_in_zone|base_gate_failed|insufficient_reward_risk|swing_trade_entry_trigger_pending|entry_rejection_pending|entry_vwap_gate_pending|entry_session_rvol_pending|recovery_observation_watching,0,0,0,SUPPORT,43.5100,2,BUILDING,SHORT,false,false,false,structural_chain_rebased|manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:2:SUPPORT,RESISTANCE,44.6350,SUPPORT,43.5100,SIN_DATO,0,SIN_DATO,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,SIN_DATO,SIN_DATO,0,SIN_DATO,0,0,0,0,0,SIN_DATO
CVCO,3,MANUAL,DIARIO FIJO,554.0343,570.3769,546.1200,537.9282,607.1000,612.5100,562.2056,578.6052,0,2026-09-04T20:00:00Z,ALPACA_DIRECTO,581.0093,578.3641,622.2636,2026-09-02T04:00:00Z,2026-08-13T04:00:00Z,AVOID,BEARISH,31.00,false,0,0,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,0,0,ENGINE_REJECTED,SIN_DATO,SIN_DATO,SwingTrade LONG impulse requires low before high,536.9394,543.1506,533.8338,SUPPORT,540.0450,3,EXTENDED,LONG,false,false,false,manual_monitor_only|impulse_extended_awaiting_pullback|trade_side:LONG|active_level:3:SUPPORT,SUPPORT,555.3100,RESISTANCE,593.2600,SUPPORT,540.0450,SWING_DIARIO,FIRST_TOUCH,NONE,568.3657,574.8518,579.9984,556.1088,84.0000,49.6000,0.0000,44.7630,BELOW_ZONE,pivot_daily_366|daily_sma50|weekly_sma10|round_number,443.3350,2026-05-19T04:00:00Z,630.4800,42.2130,0,0,0,key_support_first_touch
VOLT,3,MANUAL,DIARIO FIJO,35.0296,35.8390,34.6600,34.1401,39.3100,39.3799,35.4343,38.3429,0,2026-09-04T20:00:00Z,ALPACA_DIRECTO,36.8810,37.7832,40.0498,2026-09-02T04:00:00Z,2026-06-22T04:00:00Z,AVOID,BEARISH,0.00,false,0,0,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,0,0,ENGINE_REJECTED,SIN_DATO,SIN_DATO,SwingTrade LONG impulse requires low before high,0,0,0,RESISTANCE,36.2500,1,BUILDING,SHORT,false,false,false,structural_chain_rebased|manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:1:RESISTANCE,RESISTANCE,36.2500,SIN_DATO,0,SIN_DATO,0,SIN_DATO,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,SIN_DATO,SIN_DATO,0,SIN_DATO,0,0,0,0,0,SIN_DATO
PFS,3,MANUAL,DIARIO FIJO,23.7231,24.1209,22.9000,22.5565,25.0100,25.1800,23.4111,24.3010,27.4243,2026-09-04T20:00:00Z,ALPACA_DIRECTO,23.9220,23.9814,26.0470,2026-09-01T04:00:00Z,2026-07-30T04:00:00Z,WATCH,BULLISH,0.00,false,22.3600,25.4900,2026-06-17T04:00:00Z,2026-08-04T04:00:00Z,23.5557,23.9250,27.4243,23.5557,23.9250,22.9000,25.1800,22.7011,25.1800,27.4243,ENGINE_ASSESSMENT,SIN_DATO,false,swing_trade_no_thesis|spot_in_zone|base_gate_failed|insufficient_reward_risk|swing_trade_entry_trigger_pending|entry_rejection_pending|entry_vwap_gate_pending|entry_session_rvol_pending|recovery_observation_watching,0,0,0,SUPPORT,23.3600,2,BUILDING,SHORT,false,false,false,structural_chain_rebased|manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:2:SUPPORT,RESISTANCE,23.6200,SUPPORT,23.3600,SIN_DATO,0,SIN_DATO,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,SIN_DATO,SIN_DATO,0,SIN_DATO,0,0,0,0,0,SIN_DATO
FSS,3,MANUAL,DIARIO FIJO,119.6633,123.1968,112.6450,110.9553,128.7200,130.6100,116.6604,121.4400,150.5069,2026-09-04T20:00:00Z,ALPACA_DIRECTO,121.4300,121.9566,136.1394,2026-09-02T04:00:00Z,2026-07-06T04:00:00Z,AVOID,BEARISH,0.00,false,108.6250,134.5100,2026-06-12T04:00:00Z,2026-07-06T04:00:00Z,118.5131,121.5675,150.5069,118.5131,121.5675,112.6450,130.6100,110.8783,130.6100,150.5069,ENGINE_ASSESSMENT,SIN_DATO,false,swing_trade_no_thesis|spot_in_zone|base_gate_failed|insufficient_reward_risk|swing_trade_entry_trigger_pending|entry_rejection_pending|entry_session_rvol_pending|recovery_observation_watching,0,0,0,SUPPORT,112.6450,2,BUILDING,SHORT,false,false,false,structural_chain_rebased|manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:2:SUPPORT,RESISTANCE,117.7500,SUPPORT,112.6450,SIN_DATO,0,SWING_DIARIO,LIQUIDITY_SWEEP,NONE,119.6467,121.0007,122.4303,116.9966,99.0000,82.6000,10.0000,65.0033,BELOW_ZONE,pivot_daily_365|daily_sma50|weekly_sma10|fib_0500|round_number,111.2900,2026-07-29T04:00:00Z,133.7800,20.2085,120.9500,118.6702,115.4245,liquidity_sweep_waiting_for_reclaim
GIL,3,MANUAL,DIARIO FIJO,52.9438,54.5242,50.1450,49.3928,58.5100,59.0800,52.1441,55.6054,0,2026-09-04T20:00:00Z,ALPACA_DIRECTO,54.8860,53.7340,61.4444,2026-09-01T04:00:00Z,2026-08-05T04:00:00Z,WATCH,BULLISH,31.00,false,0,0,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,0,0,ENGINE_REJECTED,SIN_DATO,SIN_DATO,SwingTrade LONG impulse requires low before high,0,0,0,SUPPORT,50.2250,2,BUILDING,SHORT,false,false,false,manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:2:SUPPORT,RESISTANCE,51.8400,SUPPORT,50.2250,SIN_DATO,0,SWING_DIARIO,FIRST_TOUCH,NONE,53.5760,53.9153,54.1900,52.3907,84.0000,49.6000,0.0000,45.0895,BELOW_ZONE,pivot_weekly_401|daily_sma50|weekly_sma10,50.0800,2026-07-30T04:00:00Z,59.1800,18.1709,0,0,0,key_support_first_touch
PB,3,MANUAL,DIARIO FIJO,72.4274,73.6837,70.5900,69.5312,75.0500,75.3700,71.8136,73.5205,79.6194,2026-09-04T20:00:00Z,ALPACA_DIRECTO,73.0555,73.1404,79.4576,2026-09-01T04:00:00Z,2026-07-16T04:00:00Z,WATCH,BULLISH,0.00,false,69.7900,75.8650,2026-07-06T04:00:00Z,2026-08-04T04:00:00Z,72.1107,72.8275,79.6194,72.1107,72.8275,70.5900,75.3700,69.9619,75.3700,79.6194,ENGINE_ASSESSMENT,SIN_DATO,false,swing_trade_no_thesis|base_gate_failed|insufficient_reward_risk|entry_session_rvol_pending|recovery_observation_watching,0,0,0,SUPPORT,71.8700,2,BUILDING,SHORT,false,false,false,structural_chain_rebased|manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:2:SUPPORT,RESISTANCE,72.3700,SUPPORT,71.8700,SIN_DATO,0,SIN_DATO,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,SIN_DATO,SIN_DATO,0,SIN_DATO,0,0,0,0,0,SIN_DATO
ADI,3,MANUAL,DIARIO FIJO,358.5653,369.5553,348.0000,342.7800,390.2800,396.9519,364.0603,381.8150,0,2026-09-04T20:00:00Z,ALPACA_DIRECTO,372.5883,377.3651,401.4300,2026-08-24T04:00:00Z,2026-06-22T04:00:00Z,AVOID,BEARISH,0.00,false,0,0,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,0,0,ENGINE_REJECTED,SIN_DATO,SIN_DATO,SwingTrade LONG impulse requires low before high,351.0133,354.4467,349.2967,SUPPORT,352.7300,3,ARMED,LONG,false,false,false,manual_monitor_only|g0_level_armed|trade_side:LONG|active_level:3:SUPPORT,SUPPORT,363.1500,RESISTANCE,371.7500,SUPPORT,352.7300,SWING_DIARIO,RECLAIMED,SWEEP_RECLAIM,351.6310,352.8567,354.2090,343.3885,89.0000,88.6000,35.0000,59.6850,ABOVE_ZONE,pivot_daily_350|pivot_daily_353|pivot_weekly_411,0,SIN_DATO,0,0,0,0,0,liquidity_sweep_below_support|support_reclaimed_on_close|reaction_not_yet_trend_reversal
CAMT,3,MANUAL,DIARIO FIJO,143.8168,152.1642,126.0900,124.1987,174.2000,178.0200,134.7202,150.3025,0,2026-09-04T20:00:00Z,ALPACA_DIRECTO,149.9903,147.9905,189.2576,2026-09-01T04:00:00Z,2026-08-12T04:00:00Z,WATCH,BULLISH,13.00,false,0,0,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,0,0,ENGINE_REJECTED,SIN_DATO,SIN_DATO,SwingTrade LONG impulse requires low before high,0,0,0,RESISTANCE,147.9200,1,BUILDING,SHORT,false,false,false,structural_chain_rebased|manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:1:RESISTANCE,RESISTANCE,147.9200,SIN_DATO,0,SIN_DATO,0,SWING_DIARIO,LIQUIDITY_SWEEP,NONE,144.1653,146.3684,148.8252,137.9047,100.0000,76.0000,10.0000,64.6000,IN_ZONE,pivot_weekly_401|daily_sma50|weekly_sma10|weekly_sma50|round_number,126.9900,2026-08-03T04:00:00Z,178.0200,40.1843,0,0,0,liquidity_sweep_waiting_for_reclaim
