ticker,schemaVersion,modoNiveles,marcoCalculo,zonaLowManual,zonaHighManual,soporteManual,invalidationManual,resistenciaManual,liquidezManual,avwapPivotManual,avwapBreakoutManual,extendedTarget,asOf,fuenteDatos,swingSma20,swingSma50,swingTarget,pivotLowAnchorAt,breakoutAnchorAt,swingVerdict,swingDirection,swingScore,swingEntryGatePassed,stImpulseLow,stImpulseHigh,stImpulseLowAt,stImpulseHighAt,stFib618,stFib50,stFib1618,stZoneLow,stZoneHigh,stSupport20,stResistance20,stInvalidation,stPrimaryTarget,stExtendedTarget,stGeometryStatus,stMaturity,stEligible,stReasons,geriZoneLow,geriZoneHigh,geriInvalidation,geriActiveLevelKind,geriActiveLevelPrice,geriActiveLevelSequence,geriMaturity,geriTradeSide,geriBounceConfirmed,geriFastConfirmation,geriFourHourConfirmation,geriReasons,geriN1Kind,geriN1Price,geriN2Kind,geriN2Price,geriN3Kind,geriN3Price,swingInvalidationSources,supportState,supportConfirmationType,supportZoneLow,supportZoneCenter,supportZoneHigh,supportInvalidation,supportScore,supportReactionScore,supportReversalScore,supportActionabilityScore,supportZonePosition,supportSources,supportImpulseOrigin,supportImpulseOriginAt,supportImpulsePeak,supportImpulseAdvancePercent,supportFib50,supportFib618,supportFib786,supportReasons
TSLS,3,MANUAL,DIARIO FIJO,57.7250,60.2055,53.3000,52.5005,63.3800,64.6068,56.1874,60.6538,82.3012,2026-09-04T20:00:00Z,ALPACA_DIRECTO,59.4204,58.9652,68.4890,2026-08-31T04:00:00Z,2026-07-29T04:00:00Z,WATCH,BULLISH,31.00,false,49.6500,69.8300,2026-07-01T04:00:00Z,2026-07-29T04:00:00Z,57.3588,59.7400,82.3012,57.3588,59.7400,53.3000,64.1000,52.0597,64.1000,82.3012,ENGINE_ASSESSMENT,SIN_DATO,false,swing_trade_no_thesis|spot_in_zone|base_gate_failed|insufficient_reward_risk|swing_trade_entry_trigger_pending|entry_rejection_pending|recovery_observation_watching,0,0,0,RESISTANCE,60.2594,3,ARMED,SHORT,false,false,false,structural_chain_rebased|manual_monitor_only|g0_level_armed|trade_side:SHORT|active_level:3:RESISTANCE,RESISTANCE,59.2450,SUPPORT,57.8700,RESISTANCE,60.2594,SWING_DIARIO,REACTION_CONFIRMED,V_RECOVERY,55.4945,55.9497,56.6531,53.6341,99.0000,97.6000,35.0000,71.9513,ABOVE_ZONE,pivot_daily_368|pivot_daily_374|daily_sma200|weekly_sma50,52.3287,2026-07-15T04:00:00Z,69.8300,33.4449,0,0,0,capitulation_v_recovery|reaction_not_yet_trend_reversal
BABX,3,MANUAL,DIARIO FIJO,16.4099,17.7902,17.1000,16.8435,25.4500,25.5400,19.4725,21.4418,33.4730,2026-09-04T20:00:00Z,ALPACA_DIRECTO,21.1037,19.8284,21.0030,2026-08-24T04:00:00Z,2026-08-10T04:00:00Z,AVOID,BEARISH,0.00,false,12.7034,25.5400,2026-06-26T04:00:00Z,2026-08-10T04:00:00Z,17.6070,19.1217,33.4730,17.6070,19.1217,17.1000,25.5400,16.4099,25.5400,33.4730,ENGINE_ASSESSMENT,ST1,true,swing_trade_st1|spot_in_zone|swing_trade_entry_trigger_pending|entry_rejection_pending|entry_session_rvol_pending|recovery_observation_watching,0,0,0,RESISTANCE,18.2791,1,BUILDING,SHORT,false,false,false,structural_chain_rebased|manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:1:RESISTANCE,RESISTANCE,18.2791,SIN_DATO,0,SIN_DATO,0,SWING_DIARIO,NO_NEARBY_SUPPORT,NONE,0,0,0,0,0,0,0,0,NO_ZONE,SIN_DATO,12.7034,2026-06-26T04:00:00Z,25.5400,101.0485,0,0,0,no_actionable_support_within_distance
