ticker,schemaVersion,modoNiveles,marcoCalculo,zonaLowManual,zonaHighManual,soporteManual,invalidationManual,resistenciaManual,liquidezManual,avwapPivotManual,avwapBreakoutManual,extendedTarget,asOf,fuenteDatos,swingSma20,swingSma50,swingTarget,pivotLowAnchorAt,breakoutAnchorAt,swingVerdict,swingDirection,swingScore,swingEntryGatePassed,stImpulseLow,stImpulseHigh,stImpulseLowAt,stImpulseHighAt,stFib618,stFib50,stFib1618,stZoneLow,stZoneHigh,stSupport20,stResistance20,stInvalidation,stPrimaryTarget,stExtendedTarget,stGeometryStatus,stMaturity,stEligible,stReasons,geriZoneLow,geriZoneHigh,geriInvalidation,geriActiveLevelKind,geriActiveLevelPrice,geriActiveLevelSequence,geriMaturity,geriTradeSide,geriBounceConfirmed,geriFastConfirmation,geriFourHourConfirmation,geriReasons,geriN1Kind,geriN1Price,geriN2Kind,geriN2Price,geriN3Kind,geriN3Price,swingInvalidationSources,supportState,supportConfirmationType,supportZoneLow,supportZoneCenter,supportZoneHigh,supportInvalidation,supportScore,supportReactionScore,supportReversalScore,supportActionabilityScore,supportZonePosition,supportSources,supportImpulseOrigin,supportImpulseOriginAt,supportImpulsePeak,supportImpulseAdvancePercent,supportFib50,supportFib618,supportFib786,supportReasons
SOXL,3,MANUAL,DIARIO FIJO,106.2806,117.3368,98.6200,97.1407,151.5300,156.9242,111.8087,147.6776,0,2026-09-04T20:00:00Z,ALPACA_DIRECTO,123.3270,145.2082,158.3386,2026-08-24T04:00:00Z,2026-06-22T04:00:00Z,AVOID,BEARISH,9.00,false,0,0,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,0,0,ENGINE_REJECTED,SIN_DATO,SIN_DATO,SwingTrade LONG impulse requires low before high,0,0,0,RESISTANCE,124.8800,3,ARMED,SHORT,false,false,false,structural_chain_rebased|manual_monitor_only|g0_level_armed|trade_side:SHORT|active_level:3:RESISTANCE,RESISTANCE,119.8800,SUPPORT,112.5300,RESISTANCE,124.8800,SWING_DIARIO,STRUCTURE_CONFIRMED,BASE_BREAKOUT,104.8944,107.4098,109.9251,96.6023,59.0000,56.6000,60.0000,48.4815,ABOVE_ZONE,pivot_daily_368|daily_sma200,102.0900,2026-08-03T04:00:00Z,156.9242,53.7116,0,0,0,reaction_followed_by_higher_high|higher_low_holds_above_support
IONX,3,MANUAL,DIARIO FIJO,20.6054,23.7501,20.1600,19.8576,34.3500,36.0050,22.1777,26.6977,0,2026-09-04T20:00:00Z,ALPACA_DIRECTO,27.2970,28.3662,29.7648,2026-09-02T04:00:00Z,2026-08-12T04:00:00Z,AVOID,BEARISH,0.00,false,0,0,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,0,0,ENGINE_REJECTED,SIN_DATO,SIN_DATO,SwingTrade LONG impulse requires low before high,0,0,0,RESISTANCE,23.4600,1,BUILDING,SHORT,false,false,false,structural_chain_rebased|manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:1:RESISTANCE,RESISTANCE,23.4600,SIN_DATO,0,SIN_DATO,0,SWING_DIARIO,SINGLE_SUPPORT_NEARBY,NONE,19.8455,20.1600,20.4745,17.4870,32.0000,0,0,0.0000,ABOVE_ZONE,pivot_daily_371,16.7950,2026-07-29T04:00:00Z,36.0050,114.3793,0,0,0,single_support_nearby_without_independent_confluence|informational_only_not_swing_confirmation
ULTY,3,MANUAL,DIARIO FIJO,25.6806,26.0883,25.5100,25.1274,27.5300,27.6991,25.8844,0,0,2026-09-04T20:00:00Z,ALPACA_DIRECTO,26.6650,27.2460,28.5102,2026-09-02T04:00:00Z,SIN_DATO,AVOID,BEARISH,0.00,false,0,0,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,0,0,ENGINE_REJECTED,SIN_DATO,SIN_DATO,SwingTrade LONG impulse requires low before high,0,0,0,SUPPORT,26.0250,2,BUILDING,SHORT,false,false,false,structural_chain_rebased|manual_monitor_only|g0_structure_building|trade_side:SHORT|active_level:2:SUPPORT,RESISTANCE,26.0700,SUPPORT,26.0250,SIN_DATO,0,SIN_DATO,SIN_DATO,SIN_DATO,0,0,0,0,0,0,0,0,SIN_DATO,SIN_DATO,0,SIN_DATO,0,0,0,0,0,SIN_DATO
